title,id,arxiv_url,published,summary,citations
Frequency Decoupling for Motion Magnification via Multi-Level Isomorphic Architecture,2403.07347v1,http://arxiv.org/abs/2403.07347v1,2024-03-12 06:07:29+00:00,"Video Motion Magnification (VMM) aims to reveal subtle and imperceptible
motion information of objects in the macroscopic world. Prior methods directly
model the motion field from the Eulerian perspective by Representation Learning
that separates shape and texture or Multi-domain Learning from phase
fluctuations. Inspired by the frequency spectrum, we observe that the
low-frequency components with stable energy always possess spatial structure
and less noise, making them suitable for modeling the subtle motion field. To
this end, we present FD4MM, a new paradigm of Frequency Decoupling for Motion
Magnification with a Multi-level Isomorphic Architecture to capture multi-level
high-frequency details and a stable low-frequency structure (motion field) in
video space. Since high-frequency details and subtle motions are susceptible to
information degradation due to their inherent subtlety and unavoidable external
interference from noise, we carefully design Sparse High/Low-pass Filters to
enhance the integrity of details and motion structures, and a Sparse Frequency
Mixer to promote seamless recoupling. Besides, we innovatively design a
contrastive regularization for this task to strengthen the model's ability to
discriminate irrelevant features, reducing undesired motion magnification.
Extensive experiments on both Real-world and Synthetic Datasets show that our
FD4MM outperforms SOTA methods. Meanwhile, FD4MM reduces FLOPs by 1.63$\times$
and boosts inference speed by 1.68$\times$ than the latest method. Our code is
available at https://github.com/Jiafei127/FD4MM.",0
An Improved Strategy for Blood Glucose Control Using Multi-Step Deep Reinforcement Learning,2403.07566v1,http://arxiv.org/abs/2403.07566v1,2024-03-12 11:53:00+00:00,"Blood Glucose (BG) control involves keeping an individual's BG within a
healthy range through extracorporeal insulin injections is an important task
for people with type 1 diabetes. However,traditional patient self-management is
cumbersome and risky. Recent research has been devoted to exploring
individualized and automated BG control approaches, among which Deep
Reinforcement Learning (DRL) shows potential as an emerging approach. In this
paper, we use an exponential decay model of drug concentration to convert the
formalization of the BG control problem, which takes into account the delay and
prolongedness of drug effects, from a PAE-POMDP (Prolonged Action
Effect-Partially Observable Markov Decision Process) to a MDP, and we propose a
novel multi-step DRL-based algorithm to solve the problem. The Prioritized
Experience Replay (PER) sampling method is also used in it. Compared to
single-step bootstrapped updates, multi-step learning is more efficient and
reduces the influence from biasing targets. Our proposed method converges
faster and achieves higher cumulative rewards compared to the benchmark in the
same training environment, and improves the time-in-range (TIR), the percentage
of time the patient's BG is within the target range, in the evaluation phase.
Our work validates the effectiveness of multi-step reinforcement learning in BG
control, which may help to explore the optimal glycemic control measure and
improve the survival of diabetic patients.",0
Learning Generalizable Feature Fields for Mobile Manipulation,2403.07563v1,http://arxiv.org/abs/2403.07563v1,2024-03-12 11:51:55+00:00,"An open problem in mobile manipulation is how to represent objects and scenes
in a unified manner, so that robots can use it both for navigating in the
environment and manipulating objects. The latter requires capturing intricate
geometry while understanding fine-grained semantics, whereas the former
involves capturing the complexity inherit to an expansive physical scale. In
this work, we present GeFF (Generalizable Feature Fields), a scene-level
generalizable neural feature field that acts as a unified representation for
both navigation and manipulation that performs in real-time. To do so, we treat
generative novel view synthesis as a pre-training task, and then align the
resulting rich scene priors with natural language via CLIP feature
distillation. We demonstrate the effectiveness of this approach by deploying
GeFF on a quadrupedal robot equipped with a manipulator. We evaluate GeFF's
ability to generalize to open-set objects as well as running time, when
performing open-vocabulary mobile manipulation in dynamic scenes.",0
A Flexible Cell Classification for ML Projects in Jupyter Notebooks,2403.07562v1,http://arxiv.org/abs/2403.07562v1,2024-03-12 11:50:47+00:00,"Jupyter Notebook is an interactive development environment commonly used for
rapid experimentation of machine learning (ML) solutions. Describing the ML
activities performed along code cells improves the readability and
understanding of Notebooks. Manual annotation of code cells is time-consuming
and error-prone. Therefore, tools have been developed that classify the cells
of a notebook concerning the ML activity performed in them. However, the
current tools are not flexible, as they work based on look-up tables that have
been created, which map function calls of commonly used ML libraries to ML
activities. These tables must be manually adjusted to account for new or
changed libraries.
  This paper presents a more flexible approach to cell classification based on
a hybrid classification approach that combines a rule-based and a decision tree
classifier. We discuss the design rationales and describe the developed
classifiers in detail. We implemented the new flexible cell classification
approach in a tool called JupyLabel. Its evaluation and the obtained metric
scores regarding precision, recall, and F1-score are discussed. Additionally,
we compared JupyLabel with HeaderGen, an existing cell classification tool. We
were able to show that the presented flexible cell classification approach
outperforms this tool significantly.",0
Unleashing Network Potentials for Semantic Scene Completion,2403.07560v2,http://arxiv.org/abs/2403.07560v2,2024-03-12 11:48:49+00:00,"Semantic scene completion (SSC) aims to predict complete 3D voxel occupancy
and semantics from a single-view RGB-D image, and recent SSC methods commonly
adopt multi-modal inputs. However, our investigation reveals two limitations:
ineffective feature learning from single modalities and overfitting to limited
datasets. To address these issues, this paper proposes a novel SSC framework -
Adversarial Modality Modulation Network (AMMNet) - with a fresh perspective of
optimizing gradient updates. The proposed AMMNet introduces two core modules: a
cross-modal modulation enabling the interdependence of gradient flows between
modalities, and a customized adversarial training scheme leveraging dynamic
gradient competition. Specifically, the cross-modal modulation adaptively
re-calibrates the features to better excite representation potentials from each
single modality. The adversarial training employs a minimax game of evolving
gradients, with customized guidance to strengthen the generator's perception of
visual fidelity from both geometric completeness and semantic correctness.
Extensive experimental results demonstrate that AMMNet outperforms
state-of-the-art SSC methods by a large margin, providing a promising direction
for improving the effectiveness and generalization of SSC methods.",0
Ensembling Prioritized Hybrid Policies for Multi-agent Pathfinding,2403.07559v1,http://arxiv.org/abs/2403.07559v1,2024-03-12 11:47:12+00:00,"Multi-Agent Reinforcement Learning (MARL) based Multi-Agent Path Finding
(MAPF) has recently gained attention due to its efficiency and scalability.
Several MARL-MAPF methods choose to use communication to enrich the information
one agent can perceive. However, existing works still struggle in structured
environments with high obstacle density and a high number of agents. To further
improve the performance of the communication-based MARL-MAPF solvers, we
propose a new method, Ensembling Prioritized Hybrid Policies (EPH). We first
propose a selective communication block to gather richer information for better
agent coordination within multi-agent environments and train the model with a
Q-learning-based algorithm. We further introduce three advanced inference
strategies aimed at bolstering performance during the execution phase. First,
we hybridize the neural policy with single-agent expert guidance for navigating
conflict-free zones. Secondly, we propose Q value-based methods for prioritized
resolution of conflicts as well as deadlock situations. Finally, we introduce a
robust ensemble method that can efficiently collect the best out of multiple
possible solutions. We empirically evaluate EPH in complex multi-agent
environments and demonstrate competitive performance against state-of-the-art
neural methods for MAPF.",0
SIFiD: Reassess Summary Factual Inconsistency Detection with LLM,2403.07557v1,http://arxiv.org/abs/2403.07557v1,2024-03-12 11:41:51+00:00,"Ensuring factual consistency between the summary and the original document is
paramount in summarization tasks. Consequently, considerable effort has been
dedicated to detecting inconsistencies. With the advent of Large Language
Models (LLMs), recent studies have begun to leverage their advanced language
understanding capabilities for inconsistency detection. However, early attempts
have shown that LLMs underperform traditional models due to their limited
ability to follow instructions and the absence of an effective detection
methodology. In this study, we reassess summary inconsistency detection with
LLMs, comparing the performances of GPT-3.5 and GPT-4. To advance research in
LLM-based inconsistency detection, we propose SIFiD (Summary Inconsistency
Detection with Filtered Document) that identify key sentences within documents
by either employing natural language inference or measuring semantic similarity
between summaries and documents.",0
An Adaptive Learning Approach to Multivariate Time Forecasting in Industrial Processes,2403.07554v1,http://arxiv.org/abs/2403.07554v1,2024-03-12 11:39:46+00:00,"Industrial processes generate a massive amount of monitoring data that can be
exploited to uncover hidden time losses in the system, leading to enhanced
accuracy of maintenance policies and, consequently, increasing the
effectiveness of the equipment. In this work, we propose a method for one-step
probabilistic multivariate forecasting of time variables based on a Hidden
Markov Model with covariates (IO-HMM). These covariates account for the
correlation of the predicted variables with their past values and additional
process measurements by means of a discrete model and a continuous model. The
probabilities of the former are updated using Bayesian principles, while the
parameter estimates for the latter are recursively computed through an adaptive
algorithm that also admits a Bayesian interpretation. This approach permits the
integration of new samples into the estimation of unknown parameters,
computationally improving the efficiency of the process. We evaluate the
performance of the method using a real data set obtained from a company of a
particular sector; however, it is a versatile technique applicable to any other
data set. The results show a consistent improvement over a persistence model,
which assumes that future values are the same as current values, and more
importantly, over univariate versions of our model.",0
Online Continual Learning For Interactive Instruction Following Agents,2403.07548v2,http://arxiv.org/abs/2403.07548v2,2024-03-12 11:33:48+00:00,"In learning an embodied agent executing daily tasks via language directives,
the literature largely assumes that the agent learns all training data at the
beginning. We argue that such a learning scenario is less realistic since a
robotic agent is supposed to learn the world continuously as it explores and
perceives it. To take a step towards a more realistic embodied agent learning
scenario, we propose two continual learning setups for embodied agents;
learning new behaviors (Behavior Incremental Learning, Behavior-IL) and new
environments (Environment Incremental Learning, Environment-IL) For the tasks,
previous 'data prior' based continual learning methods maintain logits for the
past tasks. However, the stored information is often insufficiently learned
information and requires task boundary information, which might not always be
available. Here, we propose to update them based on confidence scores without
task boundary information during training (i.e., task-free) in a moving average
fashion, named Confidence-Aware Moving Average (CAMA). In the proposed
Behavior-IL and Environment-IL setups, our simple CAMA outperforms prior state
of the art in our empirical validations by noticeable margins. The project page
including codes is https://github.com/snumprlab/cl-alfred.",0
A Survey of Vision Transformers in Autonomous Driving: Current Trends and Future Directions,2403.07542v1,http://arxiv.org/abs/2403.07542v1,2024-03-12 11:29:40+00:00,"This survey explores the adaptation of visual transformer models in
Autonomous Driving, a transition inspired by their success in Natural Language
Processing. Surpassing traditional Recurrent Neural Networks in tasks like
sequential image processing and outperforming Convolutional Neural Networks in
global context capture, as evidenced in complex scene recognition, Transformers
are gaining traction in computer vision. These capabilities are crucial in
Autonomous Driving for real-time, dynamic visual scene processing. Our survey
provides a comprehensive overview of Vision Transformer applications in
Autonomous Driving, focusing on foundational concepts such as self-attention,
multi-head attention, and encoder-decoder architecture. We cover applications
in object detection, segmentation, pedestrian detection, lane detection, and
more, comparing their architectural merits and limitations. The survey
concludes with future research directions, highlighting the growing role of
Vision Transformers in Autonomous Driving.",0
WannaLaugh: A Configurable Ransomware Emulator -- Learning to Mimic Malicious Storage Traces,2403.07540v1,http://arxiv.org/abs/2403.07540v1,2024-03-12 11:26:58+00:00,"Ransomware, a fearsome and rapidly evolving cybersecurity threat, continues
to inflict severe consequences on individuals and organizations worldwide.
Traditional detection methods, reliant on static signatures and application
behavioral patterns, are challenged by the dynamic nature of these threats.
This paper introduces three primary contributions to address this challenge.
First, we introduce a ransomware emulator. This tool is designed to safely
mimic ransomware attacks without causing actual harm or spreading malware,
making it a unique solution for studying ransomware behavior. Second, we
demonstrate how we use this emulator to create storage I/O traces. These traces
are then utilized to train machine-learning models. Our results show that these
models are effective in detecting ransomware, highlighting the practical
application of our emulator in developing responsible cybersecurity tools.
Third, we show how our emulator can be used to mimic the I/O behavior of
existing ransomware thereby enabling safe trace collection. Both the emulator
and its application represent significant steps forward in ransomware detection
in the era of machine-learning-driven cybersecurity.",0
LaB-GATr: geometric algebra transformers for large biomedical surface and volume meshes,2403.07536v1,http://arxiv.org/abs/2403.07536v1,2024-03-12 11:19:46+00:00,"Many anatomical structures can be described by surface or volume meshes.
Machine learning is a promising tool to extract information from these 3D
models. However, high-fidelity meshes often contain hundreds of thousands of
vertices, which creates unique challenges in building deep neural network
architectures. Furthermore, patient-specific meshes may not be canonically
aligned which limits the generalisation of machine learning algorithms. We
propose LaB-GATr, a transfomer neural network with geometric tokenisation that
can effectively learn with large-scale (bio-)medical surface and volume meshes
through sequence compression and interpolation. Our method extends the recently
proposed geometric algebra transformer (GATr) and thus respects all Euclidean
symmetries, i.e. rotation, translation and reflection, effectively mitigating
the problem of canonical alignment between patients. LaB-GATr achieves
state-of-the-art results on three tasks in cardiovascular hemodynamics
modelling and neurodevelopmental phenotype prediction, featuring meshes of up
to 200,000 vertices. Our results demonstrate that LaB-GATr is a powerful
architecture for learning with high-fidelity meshes which has the potential to
enable interesting downstream applications. Our implementation is publicly
available.",0
Physics-Transfer Learning for Material Strength Screening,2403.07526v1,http://arxiv.org/abs/2403.07526v1,2024-03-12 11:05:05+00:00,"The strength of materials, like many problems in the natural sciences, spans
multiple length and time scales, and the solution has to balance accuracy and
performance. Peierls stress is one of the central concepts in crystal
plasticity that measures the strength through the resistance of a dislocation
to plastic flow. The determination of Peierls stress involves a multiscale
nature depending on both elastic lattice responses and the energy landscape of
crystal slips. Material screening by strength via the Peierls stress from
first-principles calculations is computationally intractable for the nonlocal
characteristics of dislocations, and not included in the state-of-the-art
computational material databases. In this work, we propose a physics-transfer
framework to learn the physics of crystal plasticity from empirical atomistic
simulations and then predict the Peierls stress from chemically accurate
density functional theory-based calculations of material parameters. Notably,
the strengths of single-crystalline metals can be predicted from a few
single-point calculations for the deformed lattice and on the {\gamma} surface,
allowing efficient, high-throughput screening for material discovery.
Uncertainty quantification is carried out to assess the accuracy of models and
sources of errors, showing reduced physical and system uncertainties in the
predictions by elevating the fidelity of training models. This physics-transfer
framework can be generalized to other problems facing the accuracy-performance
dilemma, by harnessing the hierarchy of physics in the multiscale models of
materials science.",0
Universal Chemical Formula Dependence of $Ab$ $Initio$ Low-Energy Effective Hamiltonian in Single-Layer Carrier Doped Cuprate Superconductors -- Study by Hierarchical Dependence Extraction Algorithm,2403.07525v1,http://arxiv.org/abs/2403.07525v1,2024-03-12 11:03:25+00:00,"We explore the possibility to control the superconducting (SC) transition
temperature at optimal hole doping $T_{c}^{\rm opt}$ in cuprates by tuning the
chemical formula (CF). $T_{c}^{\rm opt}$ can be theoretically predicted from
the parameters of the \textit{ab initio} low-energy effective Hamiltonian (LEH)
with one antibonding (AB) Cu$3d_{x^2-y^2}$/O$2p_{\sigma}$ orbital per Cu atom
in the CuO$_2$ plane, notably the nearest neighbor hopping amplitude $|t_1|$
and the ratio $u=U/|t_1|$, where $U$ is the onsite effective Coulomb repulsion.
However, the CF dependence of $|t_1|$ and $u$ is a highly nontrivial question.
In this paper, we propose the universal dependence of $|t_1|$ and $u$ on the CF
and structural features in hole doped cuprates with a single CuO$_2$ layer
sandwiched between block layers. To do so, we perform extensive \textit{ab
initio} calculations of $|t_1|$ and $u$ and analyze the results by employing a
machine learning method called Hierarchical Dependence Extraction (HDE). The
main results are the following: (a) $|t_1|$ has a main-order dependence on the
radii $R_{\rm X}$ and $R_{\rm A}$ of the apical anion X and cation A in the
block layer. ($|t_1|$ increases when $R_{\rm X}$ or $R_{\rm A}$ decreases.) (b)
$u$ has a main-order dependence on the negative ionic charge $Z_{\rm X}$ of X
and the hole doping $\delta$ of the AB orbital. ($u$ decreases when $|Z_{\rm
X}|$ increases or $\delta$ increases.) We elucidate and discuss the microscopic
mechanism of (a,b). We demonstrate the predictive power of the HDE by showing
the consistency between (a,b) and results from previous works. The present
results provide a basis for optimizing SC properties in cuprates and possibly
akin materials. Also, the HDE method offers a general platform to identify
dependencies between physical quantities.",0
ProPML: Probability Partial Multi-label Learning,2403.07603v1,http://arxiv.org/abs/2403.07603v1,2024-03-12 12:40:23+00:00,"Partial Multi-label Learning (PML) is a type of weakly supervised learning
where each training instance corresponds to a set of candidate labels, among
which only some are true. In this paper, we introduce \our{}, a novel
probabilistic approach to this problem that extends the binary cross entropy to
the PML setup. In contrast to existing methods, it does not require suboptimal
disambiguation and, as such, can be applied to any deep architecture.
Furthermore, experiments conducted on artificial and real-world datasets
indicate that \our{} outperforms existing approaches, especially for high noise
in a candidate set.",0
Optimizing Negative Prompts for Enhanced Aesthetics and Fidelity in Text-To-Image Generation,2403.07605v1,http://arxiv.org/abs/2403.07605v1,2024-03-12 12:44:34+00:00,"In text-to-image generation, using negative prompts, which describe
undesirable image characteristics, can significantly boost image quality.
However, producing good negative prompts is manual and tedious. To address
this, we propose NegOpt, a novel method for optimizing negative prompt
generation toward enhanced image generation, using supervised fine-tuning and
reinforcement learning. Our combined approach results in a substantial increase
of 25% in Inception Score compared to other approaches and surpasses
ground-truth negative prompts from the test set. Furthermore, with NegOpt we
can preferentially optimize the metrics most important to us. Finally, we
construct Negative Prompts DB, a dataset of negative prompts.",0
Couler: Unified Machine Learning Workflow Optimization in Cloud,2403.07608v1,http://arxiv.org/abs/2403.07608v1,2024-03-12 12:47:32+00:00,"Machine Learning (ML) has become ubiquitous, fueling data-driven applications
across various organizations. Contrary to the traditional perception of ML in
research, ML workflows can be complex, resource-intensive, and time-consuming.
Expanding an ML workflow to encompass a wider range of data infrastructure and
data types may lead to larger workloads and increased deployment costs.
Currently, numerous workflow engines are available (with over ten being widely
recognized). This variety poses a challenge for end-users in terms of mastering
different engine APIs. While efforts have primarily focused on optimizing ML
Operations (MLOps) for a specific workflow engine, current methods largely
overlook workflow optimization across different engines.
  In this work, we design and implement Couler, a system designed for unified
ML workflow optimization in the cloud. Our main insight lies in the ability to
generate an ML workflow using natural language (NL) descriptions. We integrate
Large Language Models (LLMs) into workflow generation, and provide a unified
programming interface for various workflow engines. This approach alleviates
the need to understand various workflow engines' APIs. Moreover, Couler
enhances workflow computation efficiency by introducing automated caching at
multiple stages, enabling large workflow auto-parallelization and automatic
hyperparameters tuning. These enhancements minimize redundant computational
costs and improve fault tolerance during deep learning workflow training.
Couler is extensively deployed in real-world production scenarios at Ant Group,
handling approximately 22k workflows daily, and has successfully improved the
CPU/Memory utilization by more than 15% and the workflow completion rate by
around 17%.",0
Efficient Knowledge Deletion from Trained Models through Layer-wise Partial Machine Unlearning,2403.07611v1,http://arxiv.org/abs/2403.07611v1,2024-03-12 12:49:47+00:00,"Machine unlearning has garnered significant attention due to its ability to
selectively erase knowledge obtained from specific training data samples in an
already trained machine learning model. This capability enables data holders to
adhere strictly to data protection regulations. However, existing unlearning
techniques face practical constraints, often causing performance degradation,
demanding brief fine-tuning post unlearning, and requiring significant storage.
In response, this paper introduces a novel class of machine unlearning
algorithms. First method is partial amnesiac unlearning, integration of
layer-wise pruning with amnesiac unlearning. In this method, updates made to
the model during training are pruned and stored, subsequently used to forget
specific data from trained model. The second method assimilates layer-wise
partial-updates into label-flipping and optimization-based unlearning to
mitigate the adverse effects of data deletion on model efficacy. Through a
detailed experimental evaluation, we showcase the effectiveness of proposed
unlearning methods. Experimental results highlight that the partial amnesiac
unlearning not only preserves model efficacy but also eliminates the necessity
for brief post fine-tuning, unlike conventional amnesiac unlearning. Moreover,
employing layer-wise partial updates in label-flipping and optimization-based
unlearning techniques demonstrates superiority in preserving model efficacy
compared to their naive counterparts.",0
Symmetric Q-learning: Reducing Skewness of Bellman Error in Online Reinforcement Learning,2403.07704v1,http://arxiv.org/abs/2403.07704v1,2024-03-12 14:49:19+00:00,"In deep reinforcement learning, estimating the value function to evaluate the
quality of states and actions is essential. The value function is often trained
using the least squares method, which implicitly assumes a Gaussian error
distribution. However, a recent study suggested that the error distribution for
training the value function is often skewed because of the properties of the
Bellman operator, and violates the implicit assumption of normal error
distribution in the least squares method. To address this, we proposed a method
called Symmetric Q-learning, in which the synthetic noise generated from a
zero-mean distribution is added to the target values to generate a Gaussian
error distribution. We evaluated the proposed method on continuous control
benchmark tasks in MuJoCo. It improved the sample efficiency of a
state-of-the-art reinforcement learning method by reducing the skewness of the
error distribution.",0
CuVLER: Enhanced Unsupervised Object Discoveries through Exhaustive Self-Supervised Transformers,2403.07700v1,http://arxiv.org/abs/2403.07700v1,2024-03-12 14:46:03+00:00,"In this paper, we introduce VoteCut, an innovative method for unsupervised
object discovery that leverages feature representations from multiple
self-supervised models. VoteCut employs normalized-cut based graph
partitioning, clustering and a pixel voting approach. Additionally, We present
CuVLER (Cut-Vote-and-LEaRn), a zero-shot model, trained using pseudo-labels,
generated by VoteCut, and a novel soft target loss to refine segmentation
accuracy. Through rigorous evaluations across multiple datasets and several
unsupervised setups, our methods demonstrate significant improvements in
comparison to previous state-of-the-art models. Our ablation studies further
highlight the contributions of each component, revealing the robustness and
efficacy of our approach. Collectively, VoteCut and CuVLER pave the way for
future advancements in image segmentation.",0
Masked AutoDecoder is Effective Multi-Task Vision Generalist,2403.07692v1,http://arxiv.org/abs/2403.07692v1,2024-03-12 14:36:52+00:00,"Inspired by the success of general-purpose models in NLP, recent studies
attempt to unify different vision tasks in the same sequence format and employ
autoregressive Transformers for sequence prediction. They apply uni-directional
attention to capture sequential dependencies and generate task sequences
recursively. However, such autoregressive Transformers may not fit vision tasks
well, as vision task sequences usually lack the sequential dependencies
typically observed in natural languages. In this work, we design Masked
AutoDecoder~(MAD), an effective multi-task vision generalist. MAD consists of
two core designs. First, we develop a parallel decoding framework that
introduces bi-directional attention to capture contextual dependencies
comprehensively and decode vision task sequences in parallel. Second, we design
a masked sequence modeling approach that learns rich task contexts by masking
and reconstructing task sequences. In this way, MAD handles all the tasks by a
single network branch and a simple cross-entropy loss with minimal
task-specific designs. Extensive experiments demonstrate the great potential of
MAD as a new paradigm for unifying various vision tasks. MAD achieves superior
performance and inference efficiency compared to autoregressive counterparts
while obtaining competitive accuracy with task-specific models. Code will be
released.",0
SATDAUG -- A Balanced and Augmented Dataset for Detecting Self-Admitted Technical Debt,2403.07690v1,http://arxiv.org/abs/2403.07690v1,2024-03-12 14:33:53+00:00,"Self-admitted technical debt (SATD) refers to a form of technical debt in
which developers explicitly acknowledge and document the existence of technical
shortcuts, workarounds, or temporary solutions within the codebase. Over recent
years, researchers have manually labeled datasets derived from various software
development artifacts: source code comments, messages from the issue tracker
and pull request sections, and commit messages. These datasets are designed for
training, evaluation, performance validation, and improvement of machine
learning and deep learning models to accurately identify SATD instances.
However, class imbalance poses a serious challenge across all the existing
datasets, particularly when researchers are interested in categorizing the
specific types of SATD. In order to address the scarcity of labeled data for
SATD \textit{identification} (i.e., whether an instance is SATD or not) and
\textit{categorization} (i.e., which type of SATD is being classified) in
existing datasets, we share the \textit{SATDAUG} dataset, an augmented version
of existing SATD datasets, including source code comments, issue tracker, pull
requests, and commit messages. These augmented datasets have been balanced in
relation to the available artifacts and provide a much richer source of labeled
data for training machine learning or deep learning models.",0
Maxwell's Demon at Work: Efficient Pruning by Leveraging Saturation of Neurons,2403.07688v1,http://arxiv.org/abs/2403.07688v1,2024-03-12 14:28:06+00:00,"When training deep neural networks, the phenomenon of $\textit{dying
neurons}$ $\unicode{x2013}$units that become inactive or saturated, output zero
during training$\unicode{x2013}$ has traditionally been viewed as undesirable,
linked with optimization challenges, and contributing to plasticity loss in
continual learning scenarios. In this paper, we reassess this phenomenon,
focusing on sparsity and pruning. By systematically exploring the impact of
various hyperparameter configurations on dying neurons, we unveil their
potential to facilitate simple yet effective structured pruning algorithms. We
introduce $\textit{Demon Pruning}$ (DemP), a method that controls the
proliferation of dead neurons, dynamically leading to network sparsity.
Achieved through a combination of noise injection on active units and a
one-cycled schedule regularization strategy, DemP stands out for its simplicity
and broad applicability. Experiments on CIFAR10 and ImageNet datasets
demonstrate that DemP surpasses existing structured pruning techniques,
showcasing superior accuracy-sparsity tradeoffs and training speedups. These
findings suggest a novel perspective on dying neurons as a valuable resource
for efficient model compression and optimization.",0
Genuine Knowledge from Practice: Diffusion Test-Time Adaptation for Video Adverse Weather Removal,2403.07684v1,http://arxiv.org/abs/2403.07684v1,2024-03-12 14:21:30+00:00,"Real-world vision tasks frequently suffer from the appearance of unexpected
adverse weather conditions, including rain, haze, snow, and raindrops. In the
last decade, convolutional neural networks and vision transformers have yielded
outstanding results in single-weather video removal. However, due to the
absence of appropriate adaptation, most of them fail to generalize to other
weather conditions. Although ViWS-Net is proposed to remove adverse weather
conditions in videos with a single set of pre-trained weights, it is seriously
blinded by seen weather at train-time and degenerates when coming to unseen
weather during test-time. In this work, we introduce test-time adaptation into
adverse weather removal in videos, and propose the first framework that
integrates test-time adaptation into the iterative diffusion reverse process.
Specifically, we devise a diffusion-based network with a novel temporal noise
model to efficiently explore frame-correlated information in degraded video
clips at training stage. During inference stage, we introduce a proxy task
named Diffusion Tubelet Self-Calibration to learn the primer distribution of
test video stream and optimize the model by approximating the temporal noise
model for online adaptation. Experimental results, on benchmark datasets,
demonstrate that our Test-Time Adaptation method with Diffusion-based
network(Diff-TTA) outperforms state-of-the-art methods in terms of restoring
videos degraded by seen weather conditions. Its generalizable capability is
also validated with unseen weather conditions in both synthesized and
real-world videos.",0
MoralBERT: Detecting Moral Values in Social Discourse,2403.07678v1,http://arxiv.org/abs/2403.07678v1,2024-03-12 14:12:59+00:00,"Morality plays a fundamental role in how we perceive information while
greatly influencing our decisions and judgements. Controversial topics,
including vaccination, abortion, racism, and sexuality, often elicit opinions
and attitudes that are not solely based on evidence but rather reflect moral
worldviews. Recent advances in natural language processing have demonstrated
that moral values can be gauged in human-generated textual content. Here, we
design a range of language representation models fine-tuned to capture exactly
the moral nuances in text, called MoralBERT. We leverage annotated moral data
from three distinct sources: Twitter, Reddit, and Facebook user-generated
content covering various socially relevant topics. This approach broadens
linguistic diversity and potentially enhances the models' ability to comprehend
morality in various contexts. We also explore a domain adaptation technique and
compare it to the standard fine-tuned BERT model, using two different
frameworks for moral prediction: single-label and multi-label. We compare
in-domain approaches with conventional models relying on lexicon-based
techniques, as well as a Machine Learning classifier with Word2Vec
representation. Our results showed that in-domain prediction models
significantly outperformed traditional models. While the single-label setting
reaches a higher accuracy than previously achieved for the task when using BERT
pretrained models. Experiments in an out-of-domain setting, instead, suggest
that further work is needed for existing domain adaptation techniques to
generalise between different social media platforms, especially for the
multi-label task. The investigations and outcomes from this study pave the way
for further exploration, enabling a more profound comprehension of moral
narratives about controversial social issues.",0
Multichannel Long-Term Streaming Neural Speech Enhancement for Static and Moving Speakers,2403.07675v1,http://arxiv.org/abs/2403.07675v1,2024-03-12 14:11:29+00:00,"In this work, we extend our previously proposed offline SpatialNet for
long-term streaming multichannel speech enhancement in both static and moving
speaker scenarios. SpatialNet exploits spatial information, such as the
spatial/steering direction of speech, for discriminating between target speech
and interferences, and achieved outstanding performance. The core of SpatialNet
is a narrow-band self-attention module used for learning the temporal dynamic
of spatial vectors. Towards long-term streaming speech enhancement, we propose
to replace the offline self-attention network with online networks that have
linear inference complexity w.r.t signal length and meanwhile maintain the
capability of learning long-term information. Three variants are developed
based on (i) masked self-attention, (ii) Retention, a self-attention variant
with linear inference complexity, and (iii) Mamba, a
structured-state-space-based RNN-like network. Moreover, we investigate the
length extrapolation ability of different networks, namely test on signals that
are much longer than training signals, and propose a short-signal training plus
long-signal fine-tuning strategy, which largely improves the length
extrapolation ability of the networks within limited training time. Overall,
the proposed online SpatialNet achieves outstanding speech enhancement
performance for long audio streams, and for both static and moving speakers.
The proposed method will be open-sourced in
https://github.com/Audio-WestlakeU/NBSS.",0
Towards Model Extraction Attacks in GAN-Based Image Translation via Domain Shift Mitigation,2403.07673v2,http://arxiv.org/abs/2403.07673v2,2024-03-12 14:06:44+00:00,"Model extraction attacks (MEAs) enable an attacker to replicate the
functionality of a victim deep neural network (DNN) model by only querying its
API service remotely, posing a severe threat to the security and integrity of
pay-per-query DNN-based services. Although the majority of current research on
MEAs has primarily concentrated on neural classifiers, there is a growing
prevalence of image-to-image translation (I2IT) tasks in our everyday
activities. However, techniques developed for MEA of DNN classifiers cannot be
directly transferred to the case of I2IT, rendering the vulnerability of I2IT
models to MEA attacks often underestimated. This paper unveils the threat of
MEA in I2IT tasks from a new perspective. Diverging from the traditional
approach of bridging the distribution gap between attacker queries and victim
training samples, we opt to mitigate the effect caused by the different
distributions, known as the domain shift. This is achieved by introducing a new
regularization term that penalizes high-frequency noise, and seeking a flatter
minimum to avoid overfitting to the shifted distribution. Extensive experiments
on different image translation tasks, including image super-resolution and
style transfer, are performed on different backbone victim models, and the new
design consistently outperforms the baseline by a large margin across all
metrics. A few real-life I2IT APIs are also verified to be extremely vulnerable
to our attack, emphasizing the need for enhanced defenses and potentially
revised API publishing policies.",0
